Disease,Count of Disease Occurrence,Symptom,Rank of Symptom in Disease
UMLS:C0001418_adenocarcinoma,166,UMLS:C0221198_lesion,12
UMLS:C0001418_adenocarcinoma,166,UMLS:C0043096_decreased body weight,11
UMLS:C0001418_adenocarcinoma,166,UMLS:C0009806_constipation,10
UMLS:C0001418_adenocarcinoma,166,UMLS:C0231890_fremitus,9
UMLS:C0001418_adenocarcinoma,166,UMLS:C0278014_decreased stool caliber,8
UMLS:C0001418_adenocarcinoma,166,UMLS:C0239233_satiety early,7
UMLS:C0001418_adenocarcinoma,166,UMLS:C0018932_hematochezia,6
UMLS:C0001418_adenocarcinoma,166,UMLS:C0231872_egophony,5
UMLS:C0001418_adenocarcinoma,166,UMLS:C0030193_pain,4
UMLS:C0001418_adenocarcinoma,166,UMLS:C0008767_cicatrisation,3
UMLS:C0001418_adenocarcinoma,166,UMLS:C0241158_scar tissue,2
UMLS:C0001418_adenocarcinoma,166,UMLS:C0000737_pain abdominal,1
UMLS:C1456784_paranoia,165,UMLS:C0233762_hallucinations auditory,17
UMLS:C1456784_paranoia,165,UMLS:C0233763_hallucinations visual,16
UMLS:C1456784_paranoia,165,UMLS:C0085631_agitation,15
UMLS:C1456784_paranoia,165,UMLS:C0022107_irritable mood,14
UMLS:C1456784_paranoia,165,UMLS:C0424068_verbal auditory hallucinations,13
UMLS:C1456784_paranoia,165,UMLS:C0424000_feeling suicidal,12
UMLS:C1456784_paranoia,165,UMLS:C0438696_suicidal,11
UMLS:C1456784_paranoia,165,UMLS:C0558261_terrify,10
UMLS:C1456784_paranoia,165,UMLS:C0233647_neologism,9
UMLS:C1456784_paranoia,165,UMLS:C0237154_homelessness,8
UMLS:C1456784_paranoia,165,UMLS:C0455769_energy increased,7
UMLS:C1456784_paranoia,165,UMLS:C0344315_mood depressed,6
UMLS:C1456784_paranoia,165,UMLS:C0231187_decompensation,5
UMLS:C1456784_paranoia,165,UMLS:C0008767_cicatrisation,4
UMLS:C1456784_paranoia,165,UMLS:C0241158_scar tissue,3
UMLS:C1456784_paranoia,165,UMLS:C0312422_blackout,2
UMLS:C1456784_paranoia,165,UMLS:C0240233_loose associations,1
UMLS:C0030305_pancreatitis,165,UMLS:C0042963_vomiting,9
UMLS:C0030305_pancreatitis,165,UMLS:C0000737_pain abdominal,8
UMLS:C0030305_pancreatitis,165,UMLS:C0027497_nausea,7
UMLS:C0030305_pancreatitis,165,UMLS:C0030193_pain,6
UMLS:C0030305_pancreatitis,165,UMLS:C0011991_diarrhea,5
UMLS:C0030305_pancreatitis,165,UMLS:C0241252_stool color yellow,4
UMLS:C0030305_pancreatitis,165,UMLS:C0424790_rigor - temperature-associated observation,3
UMLS:C0030305_pancreatitis,165,UMLS:C0277797_apyrexial,2
UMLS:C0030305_pancreatitis,165,UMLS:C0234233_sore to touch,1
UMLS:C0021167_incontinence,165,UMLS:C0221166_paraparesis,15
UMLS:C0021167_incontinence,165,UMLS:C0036572_seizure,14
UMLS:C0021167_incontinence,165,UMLS:C0004093_asthenia,13
UMLS:C0021167_incontinence,165,UMLS:C0150045_urge incontinence,12
UMLS:C0021167_incontinence,165,UMLS:C0041657_unconscious state,11
UMLS:C0021167_incontinence,165,UMLS:C0236018_aura,10
UMLS:C0021167_incontinence,165,UMLS:C0554980_moody,9
UMLS:C0021167_incontinence,165,UMLS:C0877040_fear of falling,8
UMLS:C0021167_incontinence,165,UMLS:C0040822_tremor,7
UMLS:C0021167_incontinence,165,UMLS:C0037763_spasm,6
UMLS:C0021167_incontinence,165,UMLS:C0847488_unhappy,5
UMLS:C0021167_incontinence,165,UMLS:C0039070_syncope,4
UMLS:C0021167_incontinence,165,UMLS:C0085639_fall,3
UMLS:C0021167_incontinence,165,UMLS:C0427008_stiffness,2
UMLS:C0021167_incontinence,165,UMLS:C0241526_unresponsiveness,1
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0085619_orthopnea,11
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0392680_shortness of breath,10
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0231807_dyspnea on exertion,9
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0240100_jugular venous distention,8
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0034642_rale,7
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0008031_pain chest,6
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0030252_palpitation,5
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0700590_sweating increased,4
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0043094_weight gain,3
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0010200_cough,2
UMLS:C0013405_paroxysmal dyspnea,165,UMLS:C0013404_dyspnea,1
UMLS:C0019270_hernia,164,UMLS:C0000737_pain abdominal,16
UMLS:C0019270_hernia,164,UMLS:C0030193_pain,15
UMLS:C0019270_hernia,164,UMLS:C0020578_hyperventilation,14
UMLS:C0019270_hernia,164,UMLS:C0278141_excruciating pain,13
UMLS:C0019270_hernia,164,UMLS:C0016927_gag,12
UMLS:C0019270_hernia,164,UMLS:C0027497_nausea,11
UMLS:C0019270_hernia,164,UMLS:C0872410_posturing,10
UMLS:C0019270_hernia,164,UMLS:C0018991_hemiplegia,9
UMLS:C0019270_hernia,164,UMLS:C0234233_sore to touch,8
UMLS:C0019270_hernia,164,UMLS:C0019080_haemorrhage,7
UMLS:C0019270_hernia,164,UMLS:C0277797_apyrexial,6
UMLS:C0019270_hernia,164,UMLS:C0149696_food intolerance,5
UMLS:C0019270_hernia,164,UMLS:C0277899_pulse absent,4
UMLS:C0019270_hernia,164,UMLS:C0004093_asthenia,3
UMLS:C0019270_hernia,164,UMLS:C0577559_mass of body structure,2
UMLS:C0019270_hernia,164,UMLS:C0205400_thicken,1
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0018965_hematuria,23
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0392699_dysesthesia,22
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0004093_asthenia,21
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0521516_polymyalgia,20
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0848621_passed stones,19
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0008033_pleuritic pain,18
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0744492_guaiac positive,17
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0034642_rale,16
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0238844_breath sounds decreased,15
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0150045_urge incontinence,14
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0013428_dysuria,13
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0011991_diarrhea,12
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0042571_vertigo,11
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0151878_qt interval prolonged,10
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0004134_ataxia,9
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0030552_paresis,8
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0271202_hemianopsia homonymous,7
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C1269955_tumor cell invasion,6
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0578150_hemodynamically stable,5
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0577559_mass of body structure,4
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0035508_rhonchus,3
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0149746_orthostasis,2
UMLS:C0376358_malignant neoplasm of prostate,163,UMLS:C0043096_decreased body weight,1
UMLS:C0034063_edema pulmonary,161,UMLS:C0085606_urgency of micturition,16
UMLS:C0034063_edema pulmonary,161,UMLS:C0392680_shortness of breath,15
UMLS:C0034063_edema pulmonary,161,UMLS:C0034642_rale,14
UMLS:C0034063_edema pulmonary,161,UMLS:C0231835_tachypnea,13
UMLS:C0034063_edema pulmonary,161,UMLS:C0085619_orthopnea,12
UMLS:C0034063_edema pulmonary,161,UMLS:C0018862_Heberden's node,11
UMLS:C0034063_edema pulmonary,161,UMLS:C0240100_jugular venous distention,10
UMLS:C0034063_edema pulmonary,161,UMLS:C0013404_dyspnea,9
UMLS:C0034063_edema pulmonary,161,UMLS:C0700590_sweating increased,8
UMLS:C0034063_edema pulmonary,161,UMLS:C0376405_patient non compliance,7
UMLS:C0034063_edema pulmonary,161,UMLS:C0235710_chest discomfort,6
UMLS:C0034063_edema pulmonary,161,UMLS:C0020461_hyperkalemia,5
UMLS:C0034063_edema pulmonary,161,UMLS:C0232201_sinus rhythm,4
UMLS:C0034063_edema pulmonary,161,UMLS:C0008031_pain chest,3
UMLS:C0034063_edema pulmonary,161,UMLS:C0020649_hypotension,2
UMLS:C0034063_edema pulmonary,161,UMLS:C0043144_wheezing,1
UMLS:C0024228_lymphatic diseases,160,UMLS:C0030193_pain,16
UMLS:C0024228_lymphatic diseases,160,UMLS:C0577559_mass of body structure,15
UMLS:C0024228_lymphatic diseases,160,UMLS:C0028081_night sweat,14
UMLS:C0024228_lymphatic diseases,160,UMLS:C0038002_splenomegaly,13
UMLS:C0024228_lymphatic diseases,160,UMLS:C0221198_lesion,12
UMLS:C0024228_lymphatic diseases,160,UMLS:C0085593_chill,11
UMLS:C0024228_lymphatic diseases,160,UMLS:C0043096_decreased body weight,10
UMLS:C0024228_lymphatic diseases,160,UMLS:C0038999_swelling,9
UMLS:C0024228_lymphatic diseases,160,UMLS:C0015967_fever,8
UMLS:C0024228_lymphatic diseases,160,UMLS:C0034880_hyperacusis,7
UMLS:C0024228_lymphatic diseases,160,UMLS:C0231890_fremitus,6
UMLS:C0024228_lymphatic diseases,160,UMLS:C0850149_non-productive cough,5
UMLS:C0024228_lymphatic diseases,160,UMLS:C0231872_egophony,4
UMLS:C0024228_lymphatic diseases,160,UMLS:C0332575_redness,3
UMLS:C0024228_lymphatic diseases,160,UMLS:C0019209_hepatomegaly,2
UMLS:C0024228_lymphatic diseases,160,UMLS:C0015672_fatigue,1
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0231807_dyspnea on exertion,11
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0039070_syncope,10
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0235710_chest discomfort,9
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0232257_systolic murmur,8
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0036396_sciatica,7
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0002962_angina pectoris,6
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0008031_pain chest,5
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0577979_frothy sputum,4
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0428977_bradycardia,3
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0392680_shortness of breath,2
UMLS:C0003507_stenosis aortic valve,158,UMLS:C0030193_pain,1
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0024103_mass in breast,12
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0577559_mass of body structure,11
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0030554_paresthesia,10
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0277845_retropulsion,9
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0041834_erythema,8
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C1299586_difficulty,7
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0221198_lesion,6
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0239301_estrogen use,5
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0085624_burning sensation,4
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0013404_dyspnea,3
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0038999_swelling,2
UMLS:C0006142_malignant neoplasm of breast,152,UMLS:C0016579_formication,1
UMLS:C0036341_schizophrenia,147,UMLS:C0233762_hallucinations auditory,11
UMLS:C0036341_schizophrenia,147,UMLS:C0751229_hypersomnolence,10
UMLS:C0036341_schizophrenia,147,UMLS:C0022107_irritable mood,9
UMLS:C0036341_schizophrenia,147,UMLS:C0424068_verbal auditory hallucinations,8
UMLS:C0036341_schizophrenia,147,UMLS:C0376405_patient non compliance,7
UMLS:C0036341_schizophrenia,147,UMLS:C0085631_agitation,6
UMLS:C0036341_schizophrenia,147,UMLS:C0438696_suicidal,5
UMLS:C0036341_schizophrenia,147,UMLS:C0233481_worry,4
UMLS:C0036341_schizophrenia,147,UMLS:C0233763_hallucinations visual,3
UMLS:C0036341_schizophrenia,147,UMLS:C1319518_underweight,2
UMLS:C0036341_schizophrenia,147,UMLS:C0237154_homelessness,1
UMLS:C0012813_diverticulitis,145,UMLS:C0000737_pain abdominal,20
UMLS:C0012813_diverticulitis,145,UMLS:C0549483_abscess bacterial,19
UMLS:C0012813_diverticulitis,145,UMLS:C0541911_dullness,18
UMLS:C0012813_diverticulitis,145,UMLS:C0857199_red blotches,17
UMLS:C0012813_diverticulitis,145,UMLS:C0011991_diarrhea,16
UMLS:C0012813_diverticulitis,145,UMLS:C0234233_sore to touch,15
UMLS:C0012813_diverticulitis,145,UMLS:C0013428_dysuria,14
UMLS:C0012813_diverticulitis,145,UMLS:C0030193_pain,13
UMLS:C0012813_diverticulitis,145,UMLS:C0042963_vomiting,12
UMLS:C0012813_diverticulitis,145,UMLS:C0232201_sinus rhythm,11
UMLS:C0012813_diverticulitis,145,UMLS:C0232488_colic abdominal,10
UMLS:C0012813_diverticulitis,145,UMLS:C0277797_apyrexial,9
UMLS:C0012813_diverticulitis,145,UMLS:C0232498_abdominal tenderness,8
UMLS:C0012813_diverticulitis,145,UMLS:C0015967_fever,7
UMLS:C0012813_diverticulitis,145,UMLS:C1273573_unsteady gait,6
UMLS:C0012813_diverticulitis,145,UMLS:C0205400_thicken,5
UMLS:C0012813_diverticulitis,145,UMLS:C0085606_urgency of micturition,4
UMLS:C0012813_diverticulitis,145,UMLS:C0003123_anorexia,3
UMLS:C0012813_diverticulitis,145,UMLS:C0746619_monoclonal,2
UMLS:C0012813_diverticulitis,145,UMLS:C0009806_constipation,1
UMLS:C0546817_overload fluid,144,UMLS:C0034642_rale,12
UMLS:C0546817_overload fluid,144,UMLS:C0240100_jugular venous distention,11
UMLS:C0546817_overload fluid,144,UMLS:C0020461_hyperkalemia,10
UMLS:C0546817_overload fluid,144,UMLS:C0085619_orthopnea,9
UMLS:C0546817_overload fluid,144,UMLS:C0392680_shortness of breath,8
UMLS:C0546817_overload fluid,144,UMLS:C0013144_drowsiness,7
UMLS:C0546817_overload fluid,144,UMLS:C0234450_sleepy,6
UMLS:C0546817_overload fluid,144,UMLS:C0043094_weight gain,5
UMLS:C0546817_overload fluid,144,UMLS:C0020621_hypokalemia,4
UMLS:C0546817_overload fluid,144,UMLS:C0020649_hypotension,3
UMLS:C0546817_overload fluid,144,UMLS:C0038999_swelling,2
UMLS:C0546817_overload fluid,144,UMLS:C0000731_distended abdomen,1
UMLS:C0030920_ulcer peptic,143,UMLS:C0000737_pain abdominal,12
UMLS:C0030920_ulcer peptic,143,UMLS:C0221166_paraparesis,11
UMLS:C0030920_ulcer peptic,143,UMLS:C0027497_nausea,10
UMLS:C0030920_ulcer peptic,143,UMLS:C0042963_vomiting,9
UMLS:C0030920_ulcer peptic,143,UMLS:C0521516_polymyalgia,8
UMLS:C0030920_ulcer peptic,143,UMLS:C0848168_out of breath,7
UMLS:C0030920_ulcer peptic,143,UMLS:C0008031_pain chest,6
UMLS:C0030920_ulcer peptic,143,UMLS:C0018991_hemiplegia,5
UMLS:C0030920_ulcer peptic,143,UMLS:C0232517_gurgle,4
UMLS:C0030920_ulcer peptic,143,UMLS:C0020175_hunger,3
UMLS:C0030920_ulcer peptic,143,UMLS:C0277797_apyrexial,2
UMLS:C0030920_ulcer peptic,143,UMLS:C0027769_nervousness,1
UMLS:C0029443_osteomyelitis,142,UMLS:C0030193_pain,12
UMLS:C0029443_osteomyelitis,142,UMLS:C0332575_redness,11
UMLS:C0029443_osteomyelitis,142,UMLS:C0240813_prostate tender,10
UMLS:C0029443_osteomyelitis,142,UMLS:C0015967_fever,9
UMLS:C0029443_osteomyelitis,142,UMLS:C0241705_difficulty passing urine,8
UMLS:C0029443_osteomyelitis,142,UMLS:C0234233_sore to touch,7
UMLS:C0029443_osteomyelitis,142,UMLS:C0038999_swelling,6
UMLS:C0029443_osteomyelitis,142,UMLS:C0277797_apyrexial,5
UMLS:C0029443_osteomyelitis,142,UMLS:C0041834_erythema,4
UMLS:C0029443_osteomyelitis,142,UMLS:C0549483_abscess bacterial,3
UMLS:C0029443_osteomyelitis,142,UMLS:C0016512_pain foot,2
UMLS:C0029443_osteomyelitis,142,UMLS:C0152032_urinary hesitation,1
UMLS:C0017152_gastritis,140,UMLS:C0744740_heme positive,12
UMLS:C0017152_gastritis,140,UMLS:C0000737_pain abdominal,11
UMLS:C0017152_gastritis,140,UMLS:C0042963_vomiting,10
UMLS:C0017152_gastritis,140,UMLS:C0281825_disequilibrium,9
UMLS:C0017152_gastritis,140,UMLS:C0027497_nausea,8
UMLS:C0017152_gastritis,140,UMLS:C0728899_intoxication,7
UMLS:C0017152_gastritis,140,UMLS:C0019080_haemorrhage,6
UMLS:C0017152_gastritis,140,UMLS:C0744492_guaiac positive,5
UMLS:C0017152_gastritis,140,UMLS:C0030193_pain,4
UMLS:C0017152_gastritis,140,UMLS:C0043096_decreased body weight,3
UMLS:C0017152_gastritis,140,UMLS:C0234233_sore to touch,2
UMLS:C0017152_gastritis,140,UMLS:C0012833_dizziness,1
UMLS:C0004610_bacteremia,142,UMLS:C0015967_fever,16
UMLS:C0004610_bacteremia,142,UMLS:C0085593_chill,15
UMLS:C0004610_bacteremia,142,UMLS:C0016382_flushing,14
UMLS:C0004610_bacteremia,142,UMLS:C0241526_unresponsiveness,13
UMLS:C0004610_bacteremia,142,UMLS:C0085632_indifferent mood,12
UMLS:C0004610_bacteremia,142,UMLS:C1313921_urinoma,11
UMLS:C0004610_bacteremia,142,UMLS:C0042963_vomiting,10
UMLS:C0004610_bacteremia,142,UMLS:C0000731_distended abdomen,9
UMLS:C0004610_bacteremia,142,UMLS:C0239981_hypoalbuminemia,8
UMLS:C0004610_bacteremia,142,UMLS:C0241157_pustule,7
UMLS:C0004610_bacteremia,142,UMLS:C0242453_prostatism,6
UMLS:C0004610_bacteremia,142,UMLS:C0011991_diarrhea,5
UMLS:C0004610_bacteremia,142,UMLS:C0232498_abdominal tenderness,4
UMLS:C0004610_bacteremia,142,UMLS:C0008033_pleuritic pain,3
UMLS:C0004610_bacteremia,142,UMLS:C0029053_decreased translucency,2
UMLS:C0004610_bacteremia,142,UMLS:C0030232_pallor,1
UMLS:C0035078_failure kidney,140,UMLS:C0085619_orthopnea,13
UMLS:C0035078_failure kidney,140,UMLS:C0028961_oliguria,12
UMLS:C0035078_failure kidney,140,UMLS:C0232854_slowing of urinary stream,11
UMLS:C0035078_failure kidney,140,UMLS:C0277794_extreme exhaustion,10
UMLS:C0035078_failure kidney,140,UMLS:C0241526_unresponsiveness,9
UMLS:C0035078_failure kidney,140,UMLS:C0020649_hypotension,8
UMLS:C0035078_failure kidney,140,UMLS:C0014394_enuresis,7
UMLS:C0035078_failure kidney,140,UMLS:C0392680_shortness of breath,6
UMLS:C0035078_failure kidney,140,UMLS:C0019080_haemorrhage,5
UMLS:C0035078_failure kidney,140,UMLS:C0242453_prostatism,4
UMLS:C0035078_failure kidney,140,UMLS:C0442739_no status change,3
UMLS:C0035078_failure kidney,140,UMLS:C0425251_bedridden,2
UMLS:C0035078_failure kidney,140,UMLS:C0015672_fatigue,1
UMLS:C0002895_sickle cell anemia,140,UMLS:C1135120_breakthrough pain,11
UMLS:C0002895_sickle cell anemia,140,UMLS:C0004604_pain back,10
UMLS:C0002895_sickle cell anemia,140,UMLS:C0030193_pain,9
UMLS:C0002895_sickle cell anemia,140,UMLS:C0392680_shortness of breath,8
UMLS:C0002895_sickle cell anemia,140,UMLS:C1260880_snuffle,7
UMLS:C0002895_sickle cell anemia,140,UMLS:C0008031_pain chest,6
UMLS:C0002895_sickle cell anemia,140,UMLS:C0000737_pain abdominal,5
UMLS:C0002895_sickle cell anemia,140,UMLS:C0019214_hepatosplenomegaly,4
UMLS:C0002895_sickle cell anemia,140,UMLS:C0457097_green sputum,3
UMLS:C0002895_sickle cell anemia,140,UMLS:C0277797_apyrexial,2
UMLS:C0002895_sickle cell anemia,140,UMLS:C0018681_headache,1
UMLS:C0018801_failure heart,138,UMLS:C0085619_orthopnea,11
UMLS:C0018801_failure heart,138,UMLS:C0015672_fatigue,10
UMLS:C0018801_failure heart,138,UMLS:C0231807_dyspnea on exertion,9
UMLS:C0018801_failure heart,138,UMLS:C0013404_dyspnea,8
UMLS:C0018801_failure heart,138,UMLS:C0392680_shortness of breath,7
UMLS:C0018801_failure heart,138,UMLS:C0232258_pansystolic murmur,6
UMLS:C0018801_failure heart,138,UMLS:C0240100_jugular venous distention,5
UMLS:C0018801_failure heart,138,UMLS:C0694547_systolic ejection murmur,4
UMLS:C0018801_failure heart,138,UMLS:C0020649_hypotension,3
UMLS:C0018801_failure heart,138,UMLS:C0002962_angina pectoris,2
UMLS:C0018801_failure heart,138,UMLS:C0086439_hypokinesia,1
UMLS:C0041912_upper respiratory infection,135,UMLS:C0010200_cough,28
UMLS:C0041912_upper respiratory infection,135,UMLS:C0242429_throat sore,27
UMLS:C0041912_upper respiratory infection,135,UMLS:C0043144_wheezing,26
UMLS:C0041912_upper respiratory infection,135,UMLS:C0392680_shortness of breath,25
UMLS:C0041912_upper respiratory infection,135,UMLS:C0553668_labored breathing,24
UMLS:C0041912_upper respiratory infection,135,UMLS:C0015967_fever,23
UMLS:C0041912_upper respiratory infection,135,UMLS:C0848340_stuffy nose,22
UMLS:C0041912_upper respiratory infection,135,UMLS:C0850149_non-productive cough,21
UMLS:C0041912_upper respiratory infection,135,UMLS:C1260880_snuffle,20
UMLS:C0041912_upper respiratory infection,135,UMLS:C0085632_indifferent mood,19
UMLS:C0041912_upper respiratory infection,135,UMLS:C0231872_egophony,18
UMLS:C0041912_upper respiratory infection,135,UMLS:C0234866_barking cough,17
UMLS:C0041912_upper respiratory infection,135,UMLS:C0521516_polymyalgia,16
UMLS:C0041912_upper respiratory infection,135,UMLS:C0008033_pleuritic pain,15
UMLS:C0041912_upper respiratory infection,135,UMLS:C0028081_night sweat,14
UMLS:C0041912_upper respiratory infection,135,UMLS:C0013404_dyspnea,13
UMLS:C0041912_upper respiratory infection,135,UMLS:C0239134_productive cough,12
UMLS:C0041912_upper respiratory infection,135,UMLS:C0029053_decreased translucency,11
UMLS:C0041912_upper respiratory infection,135,UMLS:C0035508_rhonchus,10
UMLS:C0041912_upper respiratory infection,135,UMLS:C0425488_rapid shallow breathing,9
UMLS:C0041912_upper respiratory infection,135,UMLS:C0277797_apyrexial,8
UMLS:C0041912_upper respiratory infection,135,UMLS:C0237304_noisy respiration,7
UMLS:C0041912_upper respiratory infection,135,UMLS:C0264273_nasal discharge present,6
UMLS:C0041912_upper respiratory infection,135,UMLS:C0743482_emphysematous change,5
UMLS:C0041912_upper respiratory infection,135,UMLS:C0871754_frail,4
UMLS:C0041912_upper respiratory infection,135,UMLS:C1511606_cystic lesion,3
UMLS:C0041912_upper respiratory infection,135,UMLS:C0436331_symptom aggravating factors,2
UMLS:C0041912_upper respiratory infection,135,UMLS:C0578150_hemodynamically stable,1
UMLS:C0019158_hepatitis,133,UMLS:C0003962_ascites,12
UMLS:C0019158_hepatitis,133,UMLS:C0233308_spontaneous rupture of membranes,11
UMLS:C0019158_hepatitis,133,UMLS:C0231835_tachypnea,10
UMLS:C0019158_hepatitis,133,UMLS:C0000737_pain abdominal,9
UMLS:C0019158_hepatitis,133,UMLS:C0033774_pruritus,8
UMLS:C0019158_hepatitis,133,UMLS:C0003123_anorexia,7
UMLS:C0019158_hepatitis,133,UMLS:C1096646_transaminitis,6
UMLS:C0019158_hepatitis,133,UMLS:C0221151_projectile vomiting,5
UMLS:C0019158_hepatitis,133,UMLS:C0085593_chill,4
UMLS:C0019158_hepatitis,133,UMLS:C0476273_distress respiratory,3
UMLS:C0019158_hepatitis,133,UMLS:C0015967_fever,2
UMLS:C0019158_hepatitis,133,UMLS:C0042963_vomiting,1
UMLS:C0020542_hypertension pulmonary,128,UMLS:C0392680_shortness of breath,9
UMLS:C0020542_hypertension pulmonary,128,UMLS:C0271276_Stahli's line,8
UMLS:C0020542_hypertension pulmonary,128,UMLS:C0581911_heavy legs,7
UMLS:C0020542_hypertension pulmonary,128,UMLS:C0238844_breath sounds decreased,6
UMLS:C0020542_hypertension pulmonary,128,UMLS:C0151315_neck stiffness,5
UMLS:C0020542_hypertension pulmonary,128,UMLS:C0231807_dyspnea on exertion,4
UMLS:C0020542_hypertension pulmonary,128,UMLS:C0010520_cyanosis,3
UMLS:C0020542_hypertension pulmonary,128,UMLS:C0020649_hypotension,2
UMLS:C0020542_hypertension pulmonary,128,UMLS:C0238705_left atrial hypertrophy,1
UMLS:C0011168_deglutition disorder,126,UMLS:C0030554_paresthesia,15
UMLS:C0011168_deglutition disorder,126,UMLS:C0231690_titubation,14
UMLS:C0011168_deglutition disorder,126,UMLS:C0013362_dysarthria,13
UMLS:C0011168_deglutition disorder,126,UMLS:C0221150_painful swallowing,12
UMLS:C0011168_deglutition disorder,126,UMLS:C0019825_hoarseness,11
UMLS:C0011168_deglutition disorder,126,UMLS:C0038450_stridor,10
UMLS:C0011168_deglutition disorder,126,UMLS:C0037763_spasm,9
UMLS:C0011168_deglutition disorder,126,UMLS:C0004093_asthenia,8
UMLS:C0011168_deglutition disorder,126,UMLS:C0234979_dysdiadochokinesia,7
UMLS:C0011168_deglutition disorder,126,UMLS:C0004134_ataxia,6
UMLS:C0011168_deglutition disorder,126,UMLS:C1321756_achalasia,5
UMLS:C0011168_deglutition disorder,126,UMLS:C0043096_decreased body weight,4
UMLS:C0011168_deglutition disorder,126,UMLS:C0427008_stiffness,3
UMLS:C0011168_deglutition disorder,126,UMLS:C0221198_lesion,2
UMLS:C0011168_deglutition disorder,126,UMLS:C0748706_side pain,1
UMLS:C0018099_gout,124,UMLS:C0600142_hot flush,10
UMLS:C0018099_gout,124,UMLS:C0030193_pain,9
UMLS:C0018099_gout,124,UMLS:C0332575_redness,8
UMLS:C0018099_gout,124,UMLS:C0038999_swelling,7
UMLS:C0018099_gout,124,UMLS:C0041834_erythema,6
UMLS:C0018099_gout,124,UMLS:C0743482_emphysematous change,5
UMLS:C0018099_gout,124,UMLS:C0234233_sore to touch,4
UMLS:C0018099_gout,124,UMLS:C0086439_hypokinesia,3
UMLS:C0018099_gout,124,UMLS:C0003962_ascites,2
UMLS:C0018099_gout,124,UMLS:C0376405_patient non compliance,1
UMLS:C0040034_thrombocytopaenia,123,UMLS:C0013491_ecchymosis,9
UMLS:C0040034_thrombocytopaenia,123,UMLS:C0085702_monocytosis,8
UMLS:C0040034_thrombocytopaenia,123,UMLS:C0032781_posterior rhinorrhea,7
UMLS:C0040034_thrombocytopaenia,123,UMLS:C0019080_haemorrhage,6
UMLS:C0040034_thrombocytopaenia,123,UMLS:C0231835_tachypnea,5
UMLS:C0040034_thrombocytopaenia,123,UMLS:C0015967_fever,4
UMLS:C0040034_thrombocytopaenia,123,UMLS:C0033774_pruritus,3
UMLS:C0040034_thrombocytopaenia,123,UMLS:C0020649_hypotension,2
